PM 1,PM 2.5,PM10,Time and Date
9,13,19,2019-12-19 10:08:44 PM
8,11,18,2019-12-19 10:08:55 PM
16,17,22,2019-12-19 10:09:07 PM
31,32,35,2019-12-19 10:09:19 PM
48,49,55,2019-12-19 10:09:25 PM
65,66,69,2019-12-19 10:09:37 PM
65,67,71,2019-12-19 10:09:49 PM
4,6,17,2019-12-19 10:10:01 PM
6,8,17,2019-12-19 10:10:08 PM
11,14,27,2019-12-19 10:10:19 PM
19,22,32,2019-12-19 10:10:26 PM
4,6,16,2019-12-19 10:10:38 PM
4,5,13,2019-12-19 10:10:44 PM
6,7,15,2019-12-19 10:10:52 PM
9,10,17,2019-12-19 10:11:04 PM
19,21,31,2019-12-19 10:11:16 PM
30,32,41,2019-12-19 10:11:28 PM
48,50,57,2019-12-19 10:11:39 PM
70,72,78,2019-12-19 10:11:51 PM
39,41,49,2019-12-19 10:12:06 PM
5,8,21,2019-12-19 10:12:13 PM
8,10,23,2019-12-19 10:12:20 PM
12,14,20,2019-12-19 10:12:31 PM
25,26,30,2019-12-19 10:12:43 PM
40,43,48,2019-12-19 10:12:55 PM
7,9,22,2019-12-19 10:13:07 PM
10,15,29,2019-12-19 10:13:19 PM
15,20,30,2019-12-19 10:13:31 PM
5,7,22,2019-12-19 10:13:43 PM
6,9,18,2019-12-19 10:13:50 PM
5,8,17,2019-12-19 10:13:57 PM
11,14,18,2019-12-19 10:14:09 PM
25,26,29,2019-12-19 10:14:20 PM
4,6,18,2019-12-19 10:14:27 PM
4,6,17,2019-12-19 10:14:39 PM
6,10,20,2019-12-19 10:14:51 PM
16,19,27,2019-12-19 10:14:58 PM
18,21,31,2019-12-19 10:15:00 PM
25,27,33,2019-12-19 10:15:11 PM
41,44,51,2019-12-19 10:15:26 PM
47,49,60,2019-12-19 10:15:38 PM
6,8,18,2019-12-19 10:15:50 PM
7,8,16,2019-12-19 10:16:02 PM
17,18,28,2019-12-19 10:16:09 PM
20,23,35,2019-12-19 10:16:15 PM
4,7,18,2019-12-19 10:16:22 PM
2,6,15,2019-12-19 10:16:33 PM
4,7,15,2019-12-19 10:16:41 PM
9,12,19,2019-12-19 10:16:47 PM
10,11,23,2019-12-19 10:16:59 PM
3,5,18,2019-12-19 10:17:11 PM
4,6,16,2019-12-19 10:17:18 PM
5,6,14,2019-12-19 10:17:30 PM
15,17,19,2019-12-19 10:17:41 PM
30,33,33,2019-12-19 10:17:53 PM
55,57,57,2019-12-19 10:18:05 PM
71,73,73,2019-12-19 10:18:17 PM
19,20,28,2019-12-19 10:18:28 PM
7,10,22,2019-12-19 10:18:40 PM
2,3,13,2019-12-19 10:18:42 PM
2,3,13,2019-12-19 10:18:54 PM
5,6,12,2019-12-19 10:19:06 PM
10,12,17,2019-12-19 10:19:18 PM
18,21,24,2019-12-19 10:19:30 PM
17,18,24,2019-12-19 10:19:42 PM
5,7,13,2019-12-19 10:19:48 PM
5,7,12,2019-12-19 10:20:00 PM
13,15,18,2019-12-19 10:20:12 PM
25,28,30,2019-12-19 10:20:24 PM
46,47,52,2019-12-19 10:20:36 PM
8,11,25,2019-12-19 10:20:47 PM
5,6,13,2019-12-19 10:20:59 PM
13,13,15,2019-12-19 10:21:11 PM
32,34,37,2019-12-19 10:21:23 PM
6,7,20,2019-12-19 10:21:35 PM
3,4,11,2019-12-19 10:21:47 PM
7,8,11,2019-12-19 10:21:54 PM
11,13,14,2019-12-19 10:22:05 PM
30,32,35,2019-12-19 10:22:17 PM
30,32,40,2019-12-19 10:22:29 PM
5,7,16,2019-12-19 10:22:40 PM
7,9,16,2019-12-19 10:22:52 PM
14,17,24,2019-12-19 10:23:05 PM
22,27,31,2019-12-19 10:23:17 PM
4,6,12,2019-12-19 10:23:29 PM
4,5,8,2019-12-19 10:23:41 PM
11,12,12,2019-12-19 10:23:53 PM
23,24,25,2019-12-19 10:24:05 PM
18,22,32,2019-12-19 10:24:12 PM
6,8,18,2019-12-19 10:24:23 PM
5,6,12,2019-12-19 10:24:35 PM
12,14,15,2019-12-19 10:24:42 PM
25,27,28,2019-12-19 10:24:55 PM
65,66,69,2019-12-19 10:25:06 PM
13,14,27,2019-12-19 10:25:18 PM
9,12,20,2019-12-19 10:25:30 PM
20,22,27,2019-12-19 10:25:42 PM
24,25,37,2019-12-19 10:25:54 PM
4,6,15,2019-12-19 10:26:05 PM
7,9,15,2019-12-19 10:26:17 PM
20,22,26,2019-12-19 10:26:29 PM
6,7,17,2019-12-19 10:26:36 PM
4,5,13,2019-12-19 10:26:47 PM
6,6,11,2019-12-19 10:26:59 PM
8,12,22,2019-12-19 10:27:11 PM
2,3,15,2019-12-19 10:27:17 PM
2,4,15,2019-12-19 10:27:29 PM
12,12,14,2019-12-19 10:27:41 PM
29,31,37,2019-12-19 10:27:48 PM
5,6,15,2019-12-19 10:27:55 PM
3,5,12,2019-12-19 10:28:07 PM
5,7,12,2019-12-19 10:28:19 PM
17,17,19,2019-12-19 10:28:31 PM
49,50,55,2019-12-19 10:28:37 PM
24,26,38,2019-12-19 10:28:49 PM
5,7,18,2019-12-19 10:29:01 PM
13,15,18,2019-12-19 10:29:13 PM
41,41,44,2019-12-19 10:29:25 PM
5,6,18,2019-12-19 10:29:36 PM
7,10,21,2019-12-19 10:29:48 PM
25,26,35,2019-12-19 10:30:00 PM
9,13,22,2019-12-19 10:30:12 PM
3,6,15,2019-12-19 10:30:24 PM
12,14,20,2019-12-19 10:30:32 PM
25,27,29,2019-12-19 10:30:44 PM
58,60,62,2019-12-19 10:30:50 PM
34,36,44,2019-12-19 10:31:02 PM
6,6,14,2019-12-19 10:31:14 PM
15,17,25,2019-12-19 10:31:26 PM
36,39,45,2019-12-19 10:31:37 PM
4,6,13,2019-12-19 10:31:44 PM
5,7,14,2019-12-19 10:31:56 PM
14,14,18,2019-12-19 10:32:08 PM
